id,experiment,trial,manipulation,item,correct
id4,Experiment 1a,1,Test - Point,Frog,1
id4,Experiment 1a,2,Test - Point + Label,Mouse,1
id4,Experiment 1a,3,Test - Point + Label,Bunny,1
id4,Experiment 1a,4,Test - Look,Pig,1
id4,Experiment 1a,5,Test - Look + Label,Tiger,1
id4,Experiment 1a,6,Test - Look,Bear,1
id4,Experiment 1a,7,Test - Look + Label,Dog,1
id4,Experiment 1a,8,Test - Point,Elephant,1
id10,Experiment 1a,1,Test - Point,Elephant,1
id10,Experiment 1a,2,Test - Point + Label,Pig,0
id10,Experiment 1a,3,Test - Point + Label,Frog,1
id10,Experiment 1a,4,Test - Point,Bunny,1
id10,Experiment 1a,5,Test - Look + Label,Cat,1
id10,Experiment 1a,6,Test - Look,Mouse,1
id10,Experiment 1a,7,Test - Look + Label,Bear,1
id10,Experiment 1a,8,Test - Look,Monkey,1
id12,Experiment 1a,1,Test - Look + Label,Dog,1
id12,Experiment 1a,2,Test - Point,Sheep,1
id12,Experiment 1a,3,Test - Point + Label,Bear,0
id12,Experiment 1a,4,Test - Look,Bunny,1
id12,Experiment 1a,5,Test - Point,Pig,1
id12,Experiment 1a,6,Test - Look + Label,Monkey,0
id12,Experiment 1a,7,Test - Look,Frog,1
id12,Experiment 1a,8,Test - Point + Label,Tiger,0
id14,Experiment 1a,1,Test - Look + Label,Tiger,1
id14,Experiment 1a,2,Test - Look,Mouse,1
id14,Experiment 1a,3,Test - Point + Label,Bunny,1
id14,Experiment 1a,4,Test - Point,Bear,0
id14,Experiment 1a,5,Test - Look,Monkey,1
id14,Experiment 1a,6,Test - Point + Label,Sheep,1
id14,Experiment 1a,7,Test - Look + Label,Frog,1
id14,Experiment 1a,8,Test - Point,Pig,1
id17,Experiment 1a,1,Test - Look + Label,Frog,1
id17,Experiment 1a,2,Test - Look,Bunny,1
id17,Experiment 1a,3,Test - Point,Elephant,0
id17,Experiment 1a,4,Test - Point + Label,Pig,0
id17,Experiment 1a,5,Test - Look,Dog,1
id17,Experiment 1a,6,Test - Look + Label,Monkey,0
id17,Experiment 1a,7,Test - Point,Mouse,0
id17,Experiment 1a,8,Test - Point + Label,Tiger,0
id23,Experiment 1a,1,Test - Look + Label,Sheep,1
id23,Experiment 1a,2,Test - Point,Bear,0
id23,Experiment 1a,3,Test - Point,Frog,1
id23,Experiment 1a,4,Test - Point + Label,Monkey,1
id23,Experiment 1a,5,Test - Look + Label,Dog,0
id23,Experiment 1a,6,Test - Look,Elephant,1
id23,Experiment 1a,7,Test - Look,Pig,1
id23,Experiment 1a,8,Test - Point + Label,Tiger,1
id24,Experiment 1a,1,Test - Look,Monkey,1
id24,Experiment 1a,2,Test - Point + Label,Elephant,1
id24,Experiment 1a,3,Test - Point + Label,Frog,1
id24,Experiment 1a,4,Test - Look + Label,Pig,1
id24,Experiment 1a,5,Test - Point,Bunny,1
id24,Experiment 1a,6,Test - Look + Label,Bear,1
id24,Experiment 1a,7,Test - Point,Tiger,1
id24,Experiment 1a,8,Test - Look,Cat,1
id25,Experiment 1a,1,Test - Point + Label,Sheep,1
id25,Experiment 1a,2,Test - Look,Mouse,1
id25,Experiment 1a,3,Test - Point,Dog,0
id25,Experiment 1a,4,Test - Look + Label,Frog,0
id25,Experiment 1a,5,Test - Point,Elephant,1
id25,Experiment 1a,6,Test - Point + Label,Pig,1
id25,Experiment 1a,7,Test - Look + Label,Monkey,1
id25,Experiment 1a,8,Test - Look,Bunny,0
id27,Experiment 1a,1,Test - Look,Mouse,0
id27,Experiment 1a,2,Test - Point,Elephant,1
id27,Experiment 1a,3,Test - Point + Label,Cat,0
id27,Experiment 1a,4,Test - Look + Label,Dog,1
id27,Experiment 1a,5,Test - Look,Pig,1
id27,Experiment 1a,6,Test - Point + Label,Monkey,1
id27,Experiment 1a,7,Test - Look + Label,Sheep,1
id27,Experiment 1a,8,Test - Point,Tiger,0
id30,Experiment 1a,1,Test - Look,Bear,0
id30,Experiment 1a,2,Test - Point + Label,Mouse,1
id30,Experiment 1a,3,Test - Point,Bunny,1
id30,Experiment 1a,4,Test - Point + Label,Pig,1
id30,Experiment 1a,5,Test - Look + Label,Frog,0
id30,Experiment 1a,6,Test - Look + Label,Sheep,1
id30,Experiment 1a,7,Test - Look,Monkey,1
id30,Experiment 1a,8,Test - Point,Dog,0
id34,Experiment 1a,1,Test - Point,Tiger,1
id34,Experiment 1a,2,Test - Look,Monkey,1
id34,Experiment 1a,3,Test - Point,Bunny,1
id34,Experiment 1a,4,Test - Look,Bear,1
id34,Experiment 1a,5,Test - Point + Label,Dog,0
id34,Experiment 1a,6,Test - Point + Label,Elephant,1
id34,Experiment 1a,7,Test - Look + Label,Mouse,0
id34,Experiment 1a,8,Test - Look + Label,Frog,1
id37,Experiment 1a,1,Test - Point + Label,Cat,0
id37,Experiment 1a,2,Test - Look,Elephant,0
id37,Experiment 1a,3,Test - Point + Label,Tiger,0
id37,Experiment 1a,4,Test - Look + Label,Dog,1
id37,Experiment 1a,5,Test - Point,Sheep,0
id37,Experiment 1a,6,Test - Look + Label,Bear,1
id37,Experiment 1a,7,Test - Look,Pig,0
id37,Experiment 1a,8,Test - Point,Bunny,0
id47,Experiment 1a,1,Test - Point,Pig,1
id47,Experiment 1a,2,Test - Point + Label,Bunny,1
id47,Experiment 1a,3,Test - Point,Cat,1
id47,Experiment 1a,4,Test - Point + Label,Sheep,1
id47,Experiment 1a,5,Test - Look + Label,Mouse,1
id47,Experiment 1a,6,Test - Look + Label,Monkey,1
id47,Experiment 1a,7,Test - Look,Bear,0
id47,Experiment 1a,8,Test - Look,Frog,1
id50,Experiment 1a,1,Test - Look,Tiger,1
id50,Experiment 1a,2,Test - Look + Label,Monkey,1
id50,Experiment 1a,3,Test - Look + Label,Elephant,1
id50,Experiment 1a,4,Test - Point + Label,Bear,1
id50,Experiment 1a,5,Test - Point,Pig,1
id50,Experiment 1a,6,Test - Point,Mouse,1
id50,Experiment 1a,7,Test - Look,Sheep,0
id50,Experiment 1a,8,Test - Point + Label,Bunny,1
id53,Experiment 1a,1,Test - Point,Bunny,0
id53,Experiment 1a,2,Test - Look + Label,Tiger,0
id53,Experiment 1a,3,Test - Look + Label,Mouse,1
id53,Experiment 1a,4,Test - Point + Label,Monkey,1
id53,Experiment 1a,5,Test - Point + Label,Pig,1
id53,Experiment 1a,6,Test - Point,Dog,1
id53,Experiment 1a,7,Test - Look,Sheep,1
id53,Experiment 1a,8,Test - Look,Frog,1
id67,Experiment 1a,1,Test - Point + Label,Monkey,1
id67,Experiment 1a,2,Test - Look,Mouse,1
id67,Experiment 1a,3,Test - Point,Bunny,1
id67,Experiment 1a,4,Test - Point + Label,Sheep,1
id67,Experiment 1a,5,Test - Look + Label,Frog,1
id67,Experiment 1a,6,Test - Look,Pig,1
id67,Experiment 1a,7,Test - Look + Label,Dog,1
id67,Experiment 1a,8,Test - Point,Bear,1
id68,Experiment 1a,1,Test - Point + Label,Bunny,1
id68,Experiment 1a,2,Test - Point + Label,Tiger,1
id68,Experiment 1a,3,Test - Point,Dog,1
id68,Experiment 1a,4,Test - Point,Monkey,1
id68,Experiment 1a,5,Test - Look,Cat,1
id68,Experiment 1a,6,Test - Look + Label,Bear,1
id68,Experiment 1a,7,Test - Look + Label,Mouse,1
id68,Experiment 1a,8,Test - Look,Elephant,1
id70,Experiment 1a,1,Test - Point,Bunny,1
id70,Experiment 1a,2,Test - Point + Label,Pig,1
id70,Experiment 1a,3,Test - Look + Label,Mouse,1
id70,Experiment 1a,4,Test - Point + Label,Sheep,1
id70,Experiment 1a,5,Test - Look + Label,Frog,1
id70,Experiment 1a,6,Test - Look,Monkey,1
id70,Experiment 1a,7,Test - Point,Tiger,1
id70,Experiment 1a,8,Test - Look,Dog,1
id73,Experiment 1a,1,Test - Point + Label,Mouse,1
id73,Experiment 1a,2,Test - Look + Label,Bunny,1
id73,Experiment 1a,3,Test - Look + Label,Monkey,1
id73,Experiment 1a,4,Test - Point,Tiger,1
id73,Experiment 1a,5,Test - Point + Label,Pig,1
id73,Experiment 1a,6,Test - Look,Frog,1
id73,Experiment 1a,7,Test - Point,Cat,0
id73,Experiment 1a,8,Test - Look,Bear,1
id74,Experiment 1a,1,Test - Point + Label,Elephant,1
id74,Experiment 1a,2,Test - Point + Label,Frog,1
id74,Experiment 1a,3,Test - Look,Cat,1
id74,Experiment 1a,4,Test - Look + Label,Dog,1
id74,Experiment 1a,5,Test - Look,Tiger,1
id74,Experiment 1a,6,Test - Look + Label,Pig,1
id74,Experiment 1a,7,Test - Point,Bear,1
id74,Experiment 1a,8,Test - Point,Sheep,1
id77,Experiment 1a,1,Test - Point + Label,Mouse,1
id77,Experiment 1a,2,Test - Point,Bunny,1
id77,Experiment 1a,3,Test - Point,Cat,0
id77,Experiment 1a,4,Test - Look + Label,Frog,0
id77,Experiment 1a,5,Test - Look,Elephant,1
id77,Experiment 1a,6,Test - Point + Label,Dog,1
id77,Experiment 1a,7,Test - Look,Pig,0
id77,Experiment 1a,8,Test - Look + Label,Bear,0
id78,Experiment 1a,1,Test - Point,Bunny,1
id78,Experiment 1a,2,Test - Point,Tiger,1
id78,Experiment 1a,3,Test - Look + Label,Monkey,1
id78,Experiment 1a,4,Test - Look,Cat,1
id78,Experiment 1a,5,Test - Look,Pig,1
id78,Experiment 1a,6,Test - Point + Label,Dog,1
id78,Experiment 1a,7,Test - Look + Label,Sheep,1
id78,Experiment 1a,8,Test - Point + Label,Bear,1
id84,Experiment 1a,1,Test - Point + Label,Elephant,0
id84,Experiment 1a,2,Test - Look + Label,Dog,0
id84,Experiment 1a,3,Test - Look,Cat,1
id84,Experiment 1a,4,Test - Look + Label,Monkey,1
id84,Experiment 1a,5,Test - Point + Label,Sheep,1
id84,Experiment 1a,6,Test - Point,Bear,1
id84,Experiment 1a,7,Test - Look,Frog,0
id84,Experiment 1a,8,Test - Point,Mouse,1
id86,Experiment 1a,1,Test - Point,Frog,0
id86,Experiment 1a,2,Test - Look + Label,Bunny,1
id86,Experiment 1a,3,Test - Look,Pig,1
id86,Experiment 1a,4,Test - Point + Label,Mouse,1
id86,Experiment 1a,5,Test - Look + Label,Bear,1
id86,Experiment 1a,6,Test - Point + Label,Sheep,1
id86,Experiment 1a,7,Test - Point,Elephant,1
id86,Experiment 1a,8,Test - Look,Monkey,1
id96,Experiment 1a,1,Test - Look + Label,Elephant,1
id96,Experiment 1a,2,Test - Look,Dog,1
id96,Experiment 1a,3,Test - Point,Pig,1
id96,Experiment 1a,4,Test - Point + Label,Mouse,1
id96,Experiment 1a,5,Test - Point + Label,Sheep,1
id96,Experiment 1a,6,Test - Point,Cat,1
id96,Experiment 1a,7,Test - Look,Monkey,1
id96,Experiment 1a,8,Test - Look + Label,Frog,1
id97,Experiment 1a,1,Test - Point,Elephant,1
id97,Experiment 1a,2,Test - Point + Label,Cat,1
id97,Experiment 1a,3,Test - Point + Label,Bunny,1
id97,Experiment 1a,4,Test - Look + Label,Monkey,1
id97,Experiment 1a,5,Test - Point,Pig,1
id97,Experiment 1a,6,Test - Look,Mouse,1
id97,Experiment 1a,7,Test - Look + Label,Dog,1
id97,Experiment 1a,8,Test - Look,Frog,1
id100,Experiment 1a,1,Test - Look,Frog,1
id100,Experiment 1a,2,Test - Look + Label,Sheep,1
id100,Experiment 1a,3,Test - Look,Mouse,1
id100,Experiment 1a,4,Test - Point,Monkey,1
id100,Experiment 1a,5,Test - Point + Label,Pig,0
id100,Experiment 1a,6,Test - Point,Cat,1
id100,Experiment 1a,7,Test - Point + Label,Tiger,1
id100,Experiment 1a,8,Test - Look + Label,Bunny,1
id101,Experiment 1a,1,Test - Look,Mouse,1
id101,Experiment 1a,2,Test - Look + Label,Bunny,1
id101,Experiment 1a,3,Test - Point + Label,Frog,0
id101,Experiment 1a,4,Test - Point,Cat,1
id101,Experiment 1a,5,Test - Look + Label,Dog,1
id101,Experiment 1a,6,Test - Point + Label,Monkey,1
id101,Experiment 1a,7,Test - Point,Sheep,1
id101,Experiment 1a,8,Test - Look,Elephant,1
id111,Experiment 1a,1,Test - Look,Bunny,1
id111,Experiment 1a,2,Test - Point,Cat,0
id111,Experiment 1a,3,Test - Look,Mouse,0
id111,Experiment 1a,4,Test - Point,Monkey,1
id111,Experiment 1a,5,Test - Look + Label,Tiger,1
id111,Experiment 1a,6,Test - Look + Label,Dog,1
id111,Experiment 1a,7,Test - Point + Label,Bear,1
id111,Experiment 1a,8,Test - Point + Label,Elephant,1
id112,Experiment 1a,1,Test - Look + Label,Cat,1
id112,Experiment 1a,2,Test - Look,Mouse,1
id112,Experiment 1a,3,Test - Look,Tiger,1
id112,Experiment 1a,4,Test - Point,Bunny,1
id112,Experiment 1a,5,Test - Point + Label,Sheep,1
id112,Experiment 1a,6,Test - Point + Label,Elephant,0
id112,Experiment 1a,7,Test - Point,Bear,0
id112,Experiment 1a,8,Test - Look + Label,Dog,0
id120,Experiment 1a,1,Test - Point + Label,Frog,1
id120,Experiment 1a,2,Test - Look + Label,Mouse,1
id120,Experiment 1a,3,Test - Point,Bunny,0
id120,Experiment 1a,4,Test - Look + Label,Bear,0
id120,Experiment 1a,5,Test - Look,Elephant,1
id120,Experiment 1a,6,Test - Point + Label,Tiger,1
id120,Experiment 1a,7,Test - Look,Dog,1
id120,Experiment 1a,8,Test - Point,Pig,0
id121,Experiment 1a,1,Test - Look + Label,Elephant,1
id121,Experiment 1a,2,Test - Point,Cat,1
id121,Experiment 1a,3,Test - Point + Label,Monkey,1
id121,Experiment 1a,4,Test - Look + Label,Dog,1
id121,Experiment 1a,5,Test - Point,Pig,1
id121,Experiment 1a,6,Test - Look,Tiger,1
id121,Experiment 1a,7,Test - Look,Bear,1
id121,Experiment 1a,8,Test - Point + Label,Sheep,0
id124,Experiment 1a,1,Test - Point + Label,Mouse,1
id124,Experiment 1a,2,Test - Look,Monkey,1
id124,Experiment 1a,3,Test - Point + Label,Frog,1
id124,Experiment 1a,4,Test - Look + Label,Bunny,1
id124,Experiment 1a,5,Test - Look,Sheep,1
id124,Experiment 1a,6,Test - Point,Elephant,1
id124,Experiment 1a,7,Test - Point,Pig,1
id124,Experiment 1a,8,Test - Look + Label,Bear,1
id132,Experiment 1a,1,Test - Look,Mouse,0
id132,Experiment 1a,2,Test - Point + Label,Sheep,1
id132,Experiment 1a,3,Test - Look,Monkey,1
id132,Experiment 1a,4,Test - Point,Pig,1
id132,Experiment 1a,5,Test - Point,Frog,0
id132,Experiment 1a,6,Test - Point + Label,Dog,1
id132,Experiment 1a,7,Test - Look + Label,Bunny,1
id132,Experiment 1a,8,Test - Look + Label,Tiger,1
id141,Experiment 1a,1,Test - Look + Label,Bunny,1
id141,Experiment 1a,2,Test - Point + Label,Frog,0
id141,Experiment 1a,3,Test - Look,Tiger,0
id141,Experiment 1a,4,Test - Point + Label,Cat,1
id141,Experiment 1a,5,Test - Look,Elephant,1
id141,Experiment 1a,6,Test - Look + Label,Pig,1
id141,Experiment 1a,7,Test - Point,Bear,1
id141,Experiment 1a,8,Test - Point,Dog,1
id143,Experiment 1a,1,Test - Look,Bunny,1
id143,Experiment 1a,2,Test - Point,Tiger,1
id143,Experiment 1a,3,Test - Point,Bear,1
id143,Experiment 1a,4,Test - Look + Label,Frog,1
id143,Experiment 1a,5,Test - Look,Pig,1
id143,Experiment 1a,6,Test - Look + Label,Sheep,1
id143,Experiment 1a,7,Test - Point + Label,Monkey,1
id143,Experiment 1a,8,Test - Point + Label,Dog,1
id147,Experiment 1a,1,Test - Point,Elephant,1
id147,Experiment 1a,2,Test - Look,Frog,1
id147,Experiment 1a,3,Test - Look,Tiger,1
id147,Experiment 1a,4,Test - Look + Label,Cat,1
id147,Experiment 1a,5,Test - Point + Label,Pig,1
id147,Experiment 1a,6,Test - Point,Bear,1
id147,Experiment 1a,7,Test - Point + Label,Dog,1
id147,Experiment 1a,8,Test - Look + Label,Sheep,1
id152,Experiment 1a,1,Test - Point,Pig,1
id152,Experiment 1a,2,Test - Point + Label,Dog,1
id152,Experiment 1a,3,Test - Look,Frog,0
id152,Experiment 1a,4,Test - Look + Label,Bunny,1
id152,Experiment 1a,5,Test - Look + Label,Cat,0
id152,Experiment 1a,6,Test - Look,Sheep,1
id152,Experiment 1a,7,Test - Point,Tiger,0
id152,Experiment 1a,8,Test - Point + Label,Bear,0
id157,Experiment 1a,1,Test - Point,Sheep,0
id157,Experiment 1a,2,Test - Look,Bear,1
id157,Experiment 1a,3,Test - Point,Cat,1
id157,Experiment 1a,4,Test - Point + Label,Monkey,0
id157,Experiment 1a,5,Test - Look + Label,Elephant,1
id157,Experiment 1a,6,Test - Point + Label,Dog,0
id157,Experiment 1a,7,Test - Look,Bunny,0
id157,Experiment 1a,8,Test - Look + Label,Mouse,1
id158,Experiment 1a,1,Test - Look + Label,Monkey,1
id158,Experiment 1a,2,Test - Look,Cat,1
id158,Experiment 1a,3,Test - Look + Label,Bear,1
id158,Experiment 1a,4,Test - Look,Frog,1
id158,Experiment 1a,5,Test - Point,Elephant,1
id158,Experiment 1a,6,Test - Point,Bunny,1
id158,Experiment 1a,7,Test - Point + Label,Dog,1
id158,Experiment 1a,8,Test - Point + Label,Pig,1
id159,Experiment 1a,1,Test - Point + Label,Tiger,1
id159,Experiment 1a,2,Test - Point + Label,Monkey,1
id159,Experiment 1a,3,Test - Look,Frog,1
id159,Experiment 1a,4,Test - Look + Label,Dog,1
id159,Experiment 1a,5,Test - Point,Elephant,1
id159,Experiment 1a,6,Test - Point,Bunny,1
id159,Experiment 1a,7,Test - Look,Bear,1
id159,Experiment 1a,8,Test - Look + Label,Mouse,1
id172,Experiment 1a,1,Test - Look,Bunny,1
id172,Experiment 1a,2,Test - Look + Label,Cat,0
id172,Experiment 1a,3,Test - Point,Tiger,1
id172,Experiment 1a,4,Test - Point + Label,Elephant,1
id172,Experiment 1a,5,Test - Point + Label,Pig,1
id172,Experiment 1a,6,Test - Look,Dog,1
id172,Experiment 1a,7,Test - Look + Label,Mouse,1
id172,Experiment 1a,8,Test - Point,Bear,1
id175,Experiment 1a,1,Test - Look + Label,Sheep,0
id175,Experiment 1a,2,Test - Point,Tiger,0
id175,Experiment 1a,3,Test - Look + Label,Frog,1
id175,Experiment 1a,4,Test - Point + Label,Dog,1
id175,Experiment 1a,5,Test - Point,Elephant,1
id175,Experiment 1a,6,Test - Point + Label,Bear,1
id175,Experiment 1a,7,Test - Look,Pig,1
id175,Experiment 1a,8,Test - Look,Bunny,0
id176,Experiment 1a,1,Test - Look + Label,Cat,1
id176,Experiment 1a,2,Test - Point,Bunny,1
id176,Experiment 1a,3,Test - Look,Pig,1
id176,Experiment 1a,4,Test - Look + Label,Mouse,1
id176,Experiment 1a,5,Test - Look,Tiger,1
id176,Experiment 1a,6,Test - Point,Sheep,1
id176,Experiment 1a,7,Test - Point + Label,Bear,1
id176,Experiment 1a,8,Test - Point + Label,Frog,0
id185,Experiment 1a,1,Test - Look,Mouse,1
id185,Experiment 1a,2,Test - Point + Label,Bunny,0
id185,Experiment 1a,3,Test - Look + Label,Cat,1
id185,Experiment 1a,4,Test - Look + Label,Tiger,0
id185,Experiment 1a,5,Test - Look,Sheep,1
id185,Experiment 1a,6,Test - Point,Dog,1
id185,Experiment 1a,7,Test - Point + Label,Pig,1
id185,Experiment 1a,8,Test - Point,Bear,0
id190,Experiment 1a,1,Test - Point,Bunny,1
id190,Experiment 1a,2,Test - Look,Frog,1
id190,Experiment 1a,3,Test - Look + Label,Tiger,1
id190,Experiment 1a,4,Test - Point + Label,Bear,1
id190,Experiment 1a,5,Test - Look,Mouse,0
id190,Experiment 1a,6,Test - Point,Dog,1
id190,Experiment 1a,7,Test - Point + Label,Sheep,1
id190,Experiment 1a,8,Test - Look + Label,Monkey,1
id193,Experiment 1a,1,Test - Point,Sheep,0
id193,Experiment 1a,2,Test - Point + Label,Mouse,1
id193,Experiment 1a,3,Test - Point,Tiger,1
id193,Experiment 1a,4,Test - Point + Label,Bear,1
id193,Experiment 1a,5,Test - Look,Dog,1
id193,Experiment 1a,6,Test - Look + Label,Monkey,0
id193,Experiment 1a,7,Test - Look + Label,Elephant,0
id193,Experiment 1a,8,Test - Look,Bunny,1
id195,Experiment 1a,1,Test - Point,Sheep,1
id195,Experiment 1a,2,Test - Look,Frog,1
id195,Experiment 1a,3,Test - Look + Label,Tiger,0
id195,Experiment 1a,4,Test - Point + Label,Elephant,1
id195,Experiment 1a,5,Test - Look,Monkey,1
id195,Experiment 1a,6,Test - Point,Mouse,1
id195,Experiment 1a,7,Test - Point + Label,Dog,1
id195,Experiment 1a,8,Test - Look + Label,Cat,1
id196,Experiment 1a,1,Test - Look + Label,Mouse,1
id196,Experiment 1a,2,Test - Look,Pig,0
id196,Experiment 1a,3,Test - Point + Label,Bunny,0
id196,Experiment 1a,4,Test - Point,Cat,0
id196,Experiment 1a,5,Test - Point,Monkey,1
id196,Experiment 1a,6,Test - Look,Tiger,0
id196,Experiment 1a,7,Test - Look + Label,Bear,0
id196,Experiment 1a,8,Test - Point + Label,Elephant,1
id197,Experiment 1a,1,Test - Point,Bunny,1
id197,Experiment 1a,2,Test - Look,Mouse,1
id197,Experiment 1a,3,Test - Point,Frog,1
id197,Experiment 1a,4,Test - Look + Label,Pig,1
id197,Experiment 1a,5,Test - Point + Label,Tiger,1
id197,Experiment 1a,6,Test - Look + Label,Dog,1
id197,Experiment 1a,7,Test - Point + Label,Sheep,1
id197,Experiment 1a,8,Test - Look,Elephant,1
id200,Experiment 1a,1,Test - Point + Label,Pig,1
id200,Experiment 1a,2,Test - Point + Label,Monkey,0
id200,Experiment 1a,3,Test - Point,Bear,0
id200,Experiment 1a,4,Test - Look + Label,Bunny,0
id200,Experiment 1a,5,Test - Look,Dog,1
id200,Experiment 1a,6,Test - Point,Elephant,1
id200,Experiment 1a,7,Test - Look + Label,Frog,1
id200,Experiment 1a,8,Test - Look,Tiger,1
id206,Experiment 1a,1,Test - Point + Label,Bunny,1
id206,Experiment 1a,2,Test - Point,Cat,0
id206,Experiment 1a,3,Test - Look + Label,Elephant,1
id206,Experiment 1a,4,Test - Point + Label,Pig,1
id206,Experiment 1a,5,Test - Point,Mouse,1
id206,Experiment 1a,6,Test - Look + Label,Dog,1
id206,Experiment 1a,7,Test - Look,Monkey,1
id206,Experiment 1a,8,Test - Look,Frog,1
id210,Experiment 1a,1,Test - Point,Bunny,1
id210,Experiment 1a,2,Test - Look,Bear,1
id210,Experiment 1a,3,Test - Point + Label,Frog,1
id210,Experiment 1a,4,Test - Look,Mouse,1
id210,Experiment 1a,5,Test - Point + Label,Dog,1
id210,Experiment 1a,6,Test - Point,Elephant,1
id210,Experiment 1a,7,Test - Look + Label,Monkey,1
id210,Experiment 1a,8,Test - Look + Label,Pig,1
id212,Experiment 1a,1,Test - Look,Cat,0
id212,Experiment 1a,2,Test - Point,Mouse,1
id212,Experiment 1a,3,Test - Look,Dog,0
id212,Experiment 1a,4,Test - Look + Label,Sheep,1
id212,Experiment 1a,5,Test - Point + Label,Pig,1
id212,Experiment 1a,6,Test - Point,Bunny,1
id212,Experiment 1a,7,Test - Look + Label,Bear,0
id212,Experiment 1a,8,Test - Point + Label,Frog,1
id218,Experiment 1a,1,Test - Look + Label,Pig,1
id218,Experiment 1a,2,Test - Look + Label,Bunny,1
id218,Experiment 1a,3,Test - Look,Mouse,1
id218,Experiment 1a,4,Test - Point + Label,Elephant,1
id218,Experiment 1a,5,Test - Point,Dog,1
id218,Experiment 1a,6,Test - Point + Label,Frog,1
id218,Experiment 1a,7,Test - Point,Bear,1
id218,Experiment 1a,8,Test - Look,Monkey,0
id226,Experiment 1a,1,Test - Look,Bunny,1
id226,Experiment 1a,2,Test - Point,Cat,1
id226,Experiment 1a,3,Test - Look + Label,Bear,0
id226,Experiment 1a,4,Test - Look + Label,Tiger,1
id226,Experiment 1a,5,Test - Point + Label,Frog,1
id226,Experiment 1a,6,Test - Point,Dog,1
id226,Experiment 1a,7,Test - Look,Elephant,1
id226,Experiment 1a,8,Test - Point + Label,Monkey,1
id227,Experiment 1a,1,Test - Point,Mouse,1
id227,Experiment 1a,2,Test - Point + Label,Bear,0
id227,Experiment 1a,3,Test - Look,Tiger,1
id227,Experiment 1a,4,Test - Point,Dog,1
id227,Experiment 1a,5,Test - Look,Bunny,0
id227,Experiment 1a,6,Test - Look + Label,Elephant,1
id227,Experiment 1a,7,Test - Look + Label,Monkey,1
id227,Experiment 1a,8,Test - Point + Label,Frog,0
id3,Experiment 1b,1,Test - Look,Cat,1
id3,Experiment 1b,2,Test - Look,Sheep,1
id3,Experiment 1b,3,Test - Look,Tiger,1
id3,Experiment 1b,4,Test - Look,Monkey,1
id3,Experiment 1b,5,Test - Look,Bear,1
id3,Experiment 1b,6,Test - Look,Dog,1
id3,Experiment 1b,7,Test - Look,Elephant,1
id3,Experiment 1b,8,Test - Look,Mouse,1
id62,Experiment 1b,1,Test - Look,Dog,1
id62,Experiment 1b,2,Test - Look,Sheep,1
id62,Experiment 1b,3,Test - Look,Monkey,1
id62,Experiment 1b,4,Test - Look,Mouse,1
id62,Experiment 1b,5,Test - Look,Bunny,1
id62,Experiment 1b,6,Test - Look,Tiger,1
id62,Experiment 1b,7,Test - Look,Bear,1
id62,Experiment 1b,8,Test - Look,Cat,0
id128,Experiment 1b,1,Test - Look,Bunny,1
id128,Experiment 1b,2,Test - Look,Monkey,0
id128,Experiment 1b,3,Test - Look,Tiger,0
id128,Experiment 1b,4,Test - Look,Frog,1
id128,Experiment 1b,5,Test - Look,Bear,0
id128,Experiment 1b,6,Test - Look,Pig,1
id128,Experiment 1b,7,Test - Look,Elephant,0
id128,Experiment 1b,8,Test - Look,Mouse,1
id134,Experiment 1b,1,Test - Look,Tiger,1
